timestamp_s,real_min,sim_hour,session_state,ac_voltage_v,pack_voltage_v,charge_current_a,charge_power_kw,soc_pct,pack_temp_c,connector_temp_c,connector_wear_pct,pilot_duty_pct,line_freq_hz,line_noise_v,dI_dt_a_per_s,anomaly_label,anomaly_score_0_1
0.0,0.0,0.0,CC_CV_CHARGING,240.188,297.987,0.0,0.0,0.0,24.652,25.908,0.0,10.0,60.0314,0.175,0.0,NONE,0.1507
0.05,0.0008,0.0008,CC_CV_CHARGING,239.658,298.205,0.051,0.012,0.007,24.438,25.798,0.0,10.0,60.0218,-0.27,1.022,NONE,0.1667
0.1,0.0017,0.0017,CC_CV_CHARGING,240.293,298.064,0.36,0.084,0.014,24.633,25.59,0.0,10.0,59.9743,0.227,6.183,NONE,0.1352
0.15,0.0025,0.0025,CC_CV_CHARGING,239.928,298.496,0.159,0.037,0.021,24.714,25.591,0.0,10.0,60.024,-0.173,-4.016,NONE,0.1193
0.2,0.0033,0.0033,CC_CV_CHARGING,240.999,298.206,0.381,0.089,0.028,24.87,25.61,0.0,10.0,59.9564,0.915,4.436,NONE,0.102
0.25,0.0042,0.0042,CC_CV_CHARGING,239.864,298.66,0.305,0.071,0.035,24.292,25.554,0.0,10.0,59.9628,-0.094,-1.519,NONE,0.1539
0.3,0.005,0.005,CC_CV_CHARGING,239.75,298.505,0.632,0.147,0.042,24.517,25.522,0.0,10.0,59.9927,-0.314,6.526,NONE,0.1392
0.35,0.0058,0.0058,CC_CV_CHARGING,240.015,297.857,0.497,0.116,0.049,24.584,25.525,0.0,10.0,59.9697,0.055,-2.682,NONE,0.1177
0.4,0.0067,0.0067,CC_CV_CHARGING,240.757,297.706,0.783,0.183,0.056,24.709,25.425,0.0,10.0,59.9424,0.723,5.708,NONE,0.0995
0.45,0.0075,0.0075,CC_CV_CHARGING,239.937,298.166,0.835,0.194,0.062,24.816,25.501,0.0,10.0,59.9641,0.163,1.044,NONE,0.0764
0.5,0.0083,0.0083,CC_CV_CHARGING,240.377,297.433,1.028,0.24,0.069,24.834,25.493,0.0,10.0,59.9885,0.239,3.862,NONE,0.0822
