timestamp_s,real_min,sim_hour,session_state,ac_voltage_v,pack_voltage_v,charge_current_a,charge_power_kw,soc_pct,pack_temp_c,connector_temp_c,connector_wear_pct,pilot_duty_pct,line_freq_hz,line_noise_v,dI_dt_a_per_s,anomaly_label,anomaly_score_0_1
0.0,0.0,0.0,CC_CV_CHARGING,240.235,298.207,0.042,0.01,0.0,24.506,25.74,0.0,10.0,59.9768,0.114,0.841,NONE,0.0604
0.05,0.0008,0.0008,CC_CV_CHARGING,239.71,297.569,0.388,0.09,0.007,24.728,25.771,0.0,10.0,59.9835,-0.43,6.912,NONE,0.0593
0.1,0.0017,0.0017,CC_CV_CHARGING,239.878,297.914,0.129,0.03,0.014,24.237,25.652,0.0,10.0,60.0962,-0.057,-5.164,NONE,0.0756
0.15,0.0025,0.0025,CC_CV_CHARGING,239.941,298.07,0.135,0.031,0.021,24.147,25.488,0.0,10.0,60.0303,-0.074,0.116,NONE,0.0639
0.2,0.0033,0.0033,CC_CV_CHARGING,240.029,298.022,0.237,0.055,0.028,24.701,25.436,0.0,10.0,59.9939,-0.001,2.039,NONE,0.0374
0.25,0.0042,0.0042,CC_CV_CHARGING,240.056,298.221,0.775,0.181,0.035,25.051,25.443,0.0,10.0,59.9893,0.039,10.765,NONE,0.0323
0.3,0.005,0.005,CC_CV_CHARGING,239.682,298.011,0.844,0.196,0.042,24.892,25.506,0.0,10.0,60.0617,-0.374,1.366,NONE,0.0276
0.35,0.0058,0.0058,CC_CV_CHARGING,240.218,298.078,0.73,0.17,0.049,24.839,25.406,0.0,10.0,59.96,0.414,-2.271,NONE,0.0273
0.4,0.0067,0.0067,CC_CV_CHARGING,240.232,298.082,0.665,0.155,0.056,24.671,25.507,0.0,10.0,59.9824,0.161,-1.296,NONE,0.039
0.45,0.0075,0.0075,CC_CV_CHARGING,240.123,298.055,0.792,0.184,0.062,24.471,25.614,0.0,10.0,60.0136,0.062,2.523,NONE,0.0551
0.5,0.0083,0.0083,CC_CV_CHARGING,240.105,298.02,0.984,0.229,0.069,24.544,25.465,0.0,10.0,59.9737,0.135,3.854,NONE,0.0457
