timestamp_s,real_min,sim_hour,session_state,ac_voltage_v,pack_voltage_v,charge_current_a,charge_power_kw,soc_pct,pack_temp_c,connector_temp_c,connector_wear_pct,pilot_duty_pct,line_freq_hz,line_noise_v,dI_dt_a_per_s,anomaly_label,anomaly_score_0_1
0.0,0.0,0.0,CC_CV_CHARGING,240.176,298.227,0.0,0.0,0.0,24.18,25.838,0.0,10.0,59.9853,0.267,0.0,NONE,0.1592
0.05,0.0008,0.0008,CC_CV_CHARGING,240.13,297.642,0.0,0.0,0.007,24.658,25.651,0.0,10.0,59.9641,0.178,0.0,NONE,0.0953
0.1,0.0017,0.0017,CC_CV_CHARGING,239.635,298.01,0.271,0.063,0.014,24.243,25.44,0.0,10.0,59.964,-0.265,5.425,NONE,0.1296
0.15,0.0025,0.0025,CC_CV_CHARGING,240.227,298.038,0.456,0.106,0.021,24.692,25.421,0.0,10.0,59.9555,0.17,3.692,NONE,0.0774
0.2,0.0033,0.0033,CC_CV_CHARGING,240.084,298.701,0.527,0.123,0.028,24.658,25.349,0.0,10.0,60.0463,-0.018,1.417,NONE,0.0658
0.25,0.0042,0.0042,CC_CV_CHARGING,240.274,298.327,0.535,0.125,0.035,24.596,25.413,0.0,10.0,60.0067,0.12,0.175,NONE,0.0738
0.3,0.005,0.005,CC_CV_CHARGING,240.047,298.223,0.634,0.148,0.042,24.737,25.42,0.0,10.0,60.0205,0.018,1.978,NONE,0.0658
0.35,0.0058,0.0058,CC_CV_CHARGING,240.18,298.058,1.03,0.24,0.049,24.74,25.504,0.0,10.0,59.9915,0.05,7.915,NONE,0.0888
0.4,0.0067,0.0067,CC_CV_CHARGING,239.926,298.194,0.824,0.192,0.056,24.457,25.437,0.0,10.0,60.0109,-0.052,-4.113,NONE,0.0994
0.45,0.0075,0.0075,CC_CV_CHARGING,239.901,298.479,0.857,0.199,0.062,25.008,25.431,0.0,10.0,60.0047,-0.224,0.65,NONE,0.0344
0.5,0.0083,0.0083,CC_CV_CHARGING,240.524,298.117,1.044,0.244,0.069,24.441,25.429,0.0,10.0,60.0444,0.536,3.74,NONE,0.0968
0.55,0.0092,0.0092,CC_CV_CHARGING,240.059,298.465,1.064,0.248,0.076,24.78,25.453,0.0,10.0,59.9672,0.137,0.408,NONE,0.0557
0.6,0.01,0.01,CC_CV_CHARGING,240.073,297.82,1.352,0.315,0.083,24.737,25.395,0.0,10.0,60.0558,0.122,5.746,NONE,0.0686
0.65,0.0108,0.0108,CC_CV_CHARGING,240.045,297.937,1.191,0.277,0.09,24.593,25.322,0.0,10.0,60.0239,0.097,-3.221,NONE,0.0689
0.7,0.0117,0.0117,CC_CV_CHARGING,240.171,297.668,1.542,0.359,0.097,25.286,25.285,0.0,10.0,59.9513,0.107,7.02,NONE,0.0076
0.75,0.0125,0.0125,CC_CV_CHARGING,239.815,298.489,1.499,0.349,0.104,24.921,25.282,0.0,10.0,59.9639,-0.075,-0.86,NONE,0.023
0.8,0.0133,0.0133,CC_CV_CHARGING,239.802,298.076,1.475,0.343,0.111,24.869,25.252,0.001,10.0,59.9902,-0.181,-0.474,NONE,0.0242
0.85,0.0142,0.0142,CC_CV_CHARGING,239.917,297.777,1.558,0.363,0.118,24.934,25.32,0.001,10.0,59.9508,-0.05,1.66,NONE,0.0274
0.9,0.015,0.015,CC_CV_CHARGING,240.195,297.426,1.884,0.439,0.125,24.731,25.386,0.001,10.0,59.9913,0.148,6.515,NONE,0.0656
0.95,0.0158,0.0158,CC_CV_CHARGING,239.981,298.469,1.856,0.432,0.132,24.768,25.259,0.001,10.0,59.9788,0.008,-0.559,NONE,0.0311
1.0,0.0167,0.0167,CC_CV_CHARGING,240.251,297.579,2.092,0.488,0.139,24.945,25.342,0.001,10.0,59.9567,0.279,4.735,NONE,0.0331
1.05,0.0175,0.0175,CC_CV_CHARGING,240.217,298.056,1.831,0.427,0.146,24.595,25.195,0.001,10.0,60.0216,0.098,-5.234,NONE,0.0568
1.1,0.0183,0.0183,CC_CV_CHARGING,239.985,297.584,2.431,0.566,0.153,25.001,25.174,0.001,10.0,60.0197,0.085,11.999,NONE,0.0317
1.15,0.0192,0.0192,CC_CV_CHARGING,239.54,297.864,2.49,0.579,0.16,24.603,25.033,0.001,10.0,60.0623,-0.435,1.191,NONE,0.0212
1.2,0.02,0.02,CC_CV_CHARGING,239.759,298.348,2.573,0.598,0.167,25.213,25.097,0.001,10.0,59.9681,-0.255,1.648,NONE,0.0
1.25,0.0208,0.0208,CC_CV_CHARGING,240.091,298.307,2.368,0.552,0.174,24.723,25.095,0.001,10.0,60.0311,0.065,-4.084,NONE,0.0261
1.3,0.0217,0.0217,CC_CV_CHARGING,239.723,297.955,2.431,0.565,0.181,25.017,25.161,0.001,10.0,59.9315,-0.33,1.26,NONE,0.0
1.35,0.0225,0.0225,CC_CV_CHARGING,240.174,297.674,2.654,0.618,0.188,25.179,25.322,0.001,10.0,60.0092,0.112,4.461,NONE,0.0026
1.4,0.0233,0.0233,CC_CV_CHARGING,240.459,298.606,2.45,0.571,0.194,25.506,25.469,0.002,10.0,60.0174,0.387,-4.088,NONE,0.0
