timestamp_s,session_state,charger_voltage_v,pack_voltage_v,charge_current_a,charge_power_kw,soc_pct,pack_temp_c,connector_temp_c,cell_delta_v_mv,insulation_kohm,pilot_duty_pct,line_freq_hz,voltage_ripple_v,dI_dt_a_per_s,anomaly_label,anomaly_score_0_1
0.000,CC_CHARGING,398.579,351.777,118.483,41.680,42.000,28.406,30.085,13.195,819.270,58.776,59.986,0.792,2369.667,NONE,0.040
0.050,CC_CHARGING,399.606,351.732,119.726,42.111,42.004,28.464,30.077,13.319,819.091,59.125,60.023,0.744,24.845,NONE,0.037
0.100,CC_CHARGING,398.732,352.466,119.215,42.019,42.008,28.530,29.942,12.998,821.629,59.034,60.011,0.795,-10.207,NONE,0.049
0.150,CC_CHARGING,399.601,351.634,118.229,41.573,42.012,28.453,30.069,13.397,819.555,58.824,60.024,0.786,-19.729,NONE,0.038
0.200,CC_CHARGING,399.172,351.707,119.589,42.060,42.016,28.494,30.113,12.449,818.045,59.014,59.984,0.735,27.207,NONE,0.040
0.250,CC_CHARGING,398.998,352.224,119.516,42.096,42.020,28.549,30.068,13.261,820.003,58.760,60.029,0.744,-1.469,NONE,0.059
0.300,CC_CHARGING,398.343,352.083,120.696,42.495,42.025,28.454,30.019,12.438,819.328,58.803,59.987,0.786,23.607,NONE,0.055
0.350,CC_CHARGING,399.586,352.504,120.478,42.469,42.029,28.494,30.144,12.534,817.926,58.856,60.010,0.774,-4.368,NONE,0.053
0.400,CC_CHARGING,398.367,352.319,118.277,41.671,42.033,28.627,30.102,12.979,818.826,59.015,59.990,0.760,-44.021,NONE,0.038
0.450,CC_CHARGING,398.440,352.238,119.075,41.943,42.037,28.515,29.957,13.299,819.240,59.075,60.021,0.778,15.972,NONE,0.037
0.500,CC_CHARGING,399.404,352.365,117.353,41.351,42.041,28.432,30.161,12.792,821.723,58.998,59.987,0.718,-34.446,NONE,0.047
0.550,CC_CHARGING,398.562,352.016,118.763,41.806,42.045,28.625,30.009,13.069,818.290,59.102,59.972,0.765,28.195,NONE,0.034
0.600,CC_CHARGING,398.928,351.668,119.790,42.126,42.049,28.481,30.018,12.763,818.929,58.824,60.027,0.748,20.557,NONE,0.055
0.650,CC_CHARGING,399.541,352.220,117.828,41.501,42.053,28.429,30.030,13.603,817.937,59.074,60.017,0.793,-39.246,NONE,0.049
0.700,CC_CHARGING,399.700,352.512,117.874,41.552,42.057,28.545,29.963,13.554,818.435,59.058,60.007,0.770,0.918,NONE,0.037
0.750,CC_CHARGING,399.132,352.638,119.188,42.030,42.062,28.603,30.143,13.233,819.987,58.811,59.971,0.790,26.282,NONE,0.037
0.800,CC_CHARGING,399.265,352.527,118.499,41.774,42.066,28.565,30.146,12.550,819.288,59.164,60.017,0.781,-13.788,NONE,0.031
